TIPO;ESTADO;RED;EQUIPO A;EQUIPO B;EQUIPO C;DEPENDENCIA;DIRECCION;LATITUD;LONGITUD;LOCALIDAD;PROVINCIA;ACOMETIDA 1;ACOMETIDA 2;TRIBUTARIO;CONEXIÓN OTRAS DEPENDENCIAS;OTRAS DEPENDENCIAS;SERVICIOS REGULARIZADOS;OBSERVACIONES;MIGRAR
Nodo;ACTIVO;REFEFO AMBA;CIU42AC11;CIU65AG11H;CBA2AG11H;Ministerio de Desarrollo Social;Av. 9 de Julio 1925, Piso 20;-34,612183;-58,381454;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
ODF;ACTIVO;REFEFO AMBA;CIU42AC11;-;-;Ministerio de Salud;Av. 9 de Julio 1925, Piso 5;-34,612183;-58,381454;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
Nodo;ACTIVO;REFEFO AMBA;CIU10AC11;CIU66AC11;CIU67AC11;Acumar;Esmeralda 255;-34,605584;-58,377408;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;SI;SI;Ministerio de Obras Públicas, Ministerio de Hábitat;;;OK
ODF;ACTIVO;REFEFO AMBA;CIU10AC11;-;-;Ministerio de Hábitat;Esmeralda 255;-34,605584;-58,377408;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;OK
ODF;ACTIVO;REFEFO AMBA;CIU10AC11;-;-;Ministerio de Obras Públicas;Esmeralda 255;-34,605584;-58,377408;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;OK
Nodo;ACTIVO;REFEFO AMBA;CIU28AC11;CIU33AC11;CIU28AC11;Ministerio de Ambiente;San Martin 451 Piso 5;-34,602557;-58,373768;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
Nodo;ACTIVO;REFEFO AMBA;CIU33AC11;CIU46AC11;CIU28AC11;Sedronar;Sarmiento 546;-34,604555;-58,374463;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;
Nodo;ACTIVO;REFEFO AMBA;CIU65AG11H;BBNVPE14H;CBA2AG11H;Afip;Av. Paseo Colon 635;-34,615210;-58,369644;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;
Nodo;ACTIVO;REFEFO AMBA;CIU31AC11;CIU65AG11H;CIU34AC11;Ministerio de Trabajo;Av. Leandro N. Alem 650 Piso 9;-34,600310;-58,370901;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
Nodo;ACTIVO;REFEFO AMBA;CIU49AC11;CIU67AC11;CIU46AC11;CNRT;Maipú 88;-34,607306;-58,376530;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;
Nodo;ACTIVO;REFEFO AMBA;CIU35AC11;CIU36AC11;CIU79AC11;Ministerio de Justicia;Sarmiento 329 1° Subsuelo;-34,604186;-58,371495;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
Nodo;ACTIVO;REFEFO AMBA;CIU38AC11;CIU30AC11 ;-;Ministerio de Agroindustria;Av. Paseo Colón 982;-34,618603;-58,368063;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
